Nome,Especialização,Contratação,Telefone,Endereço,CPF,Nascimento
Vinicius Moraes,Pediatria,10/09/2012,(084) 4658 1521,"Vereda Barbosa, 3
Barroca
53885-195 Gonçalves / AP",912.939.658-14,02/20/1991
Ana Vitória Teixeira,Radioterapia,03/15/2017,+55 61 7452-7433,"Campo de Gomes
Santo André
66161-466 Moreira / RJ",340.467.418-42,03/08/1984
Nicole Jesus,Dermatologia,07/03/2017,+55 (021) 3517-9562,"Viela Pedro Miguel Gomes
Santa Margarida
88301607 Freitas do Oeste / RJ",141.878.778-89,11/10/1999
Dr. Marcos Vinicius Nascimento,Endoscopia,12/20/2010,61 6141 3257,"Núcleo Natália Melo, 3
Brasil Industrial
50977958 das Neves dos Dourados / PI",900.509.986-71,09/09/1970
Júlia Silveira,Neurologia,03/16/2019,+55 31 0780-3171,"Sítio de Rodrigues, 971
Alto Barroca
72198544 da Cruz do Norte / RR",434.385.438-91,09/12/1985
Agatha Nunes,Pediatria,07/01/2014,(051) 0982-7231,"Vereda Marcos Vinicius Lima, 17
João Alfredo
55999944 Novaes / GO",771.509.249-52,04/18/1981
Milena Alves,Dermatologia,09/29/2014,81 1517-1474,"Residencial Nogueira, 786
Mala E Cuia
82422-463 Correia / SC",299.797.715-73,11/04/1973
Dr. Rafael Freitas,Radioterapia,07/23/2015,21 0234-4495,"Chácara de Rezende, 977
Conjunto Paulo Vi
91801-811 Rodrigues do Norte / MA",975.894.239-90,02/09/1986
Sophia Mendes,Alergia e imunologia,11/18/2011,(041) 4137-8919,"Rua Antônio Moraes, 14
Horto Florestal
40631-059 Moraes da Serra / RO",823.285.504-18,11/19/1970
Elisa da Costa,Cardiologia,09/24/2012,(011) 8464 2282,"Estação de Gonçalves
Chácara Leonina
10041-968 Gonçalves / AL",852.261.269-12,11/06/1980
Renan Pires,Neurologia,03/20/2013,+55 31 9715 9484,"Praia Carvalho, 14
Cruzeiro
21133-339 Fernandes da Praia / ES",797.201.385-13,06/02/1981
Maria Julia Moreira,Alergia e imunologia,01/15/2011,+55 21 9850 1927,"Largo Fernando Aragão, 8
Pantanal
86776533 Rezende de Goiás / RO",177.468.736-18,04/19/2000
Vitor Hugo da Luz,Oftalmologia,03/17/2016,(021) 5977 4912,"Colônia de Santos, 67
Cabana Do Pai Tomás
82067765 Rezende de Goiás / SE",236.456.798-22,01/04/1979
Juan Cardoso,Acupuntura,10/27/2019,+55 (081) 7716-8710,"Praia Sales, 102
Urca
26313648 Duarte / RN",975.347.239-55,08/01/1986
Dra. Laura Nogueira,Dermatologia,02/06/2012,71 4672 0339,"Sítio de Pires, 1
Marmiteiros
78698938 Teixeira de Jesus / RN",511.285.302-33,07/08/1976
Henrique Lopes,Medicina do trabalho,09/05/2015,+55 21 4744-4118,"Trecho de da Rosa, 91
Vila São Dimas
68732470 Ferreira Paulista / RS",619.375.818-58,09/18/1978
Stephany Sales,,11/26/2013,+55 (031) 3356 9360,"Sítio de Jesus, 21
Vila Novo São Lucas
55431702 Dias Alegre / RO",171.555.281-43,01/14/1988
Sr. Diogo Aragão,Medicina do trabalho,11/18/2019,(051) 6030-0887,"Lagoa Emilly Souza, 783
Glória
80644-302 Alves / RJ",112.987.292-84,04/02/1973
Bárbara Lima,Oftalmologia,03/21/2013,+55 (031) 6843-9724,"Colônia Costa
Vila Santa Monica 1ª Seção
81801935 Caldeira / RR",837.406.880-29,06/05/2000
Emanuella Nascimento,Neurologia,09/12/2016,+55 71 0400 6848,"Ladeira Monteiro, 2
Marçola
21380448 Caldeira de Novaes / RJ",772.961.410-12,04/17/1982
Valentina Moraes,Endoscopia,05/31/2017,+55 (011) 1220-2861,"Estação Isabella Pinto, 1
Inconfidência
68246386 Jesus da Prata / PA",186.506.202-85,03/11/1985
Levi Pires,Pediatria,03/20/2019,81 1424-4439,"Passarela Pedro Henrique da Costa
Paquetá
62582940 Mendes / PI",754.528.326-58,10/17/1976
Stephany da Cunha,Oftalmologia,11/11/2012,+55 (071) 8957-7959,"Parque Cardoso, 50
São Vicente
28734-771 Nascimento / AM",428.308.285-85,03/18/1998
Alexia Caldeira,Acupuntura,02/27/2020,+55 84 4236 2903,"Viaduto de Santos, 12
Vila Engenho Nogueira
91408-274 Ribeiro / PI",709.333.996-37,03/10/1972
Joaquim Araújo,Dermatologia,05/12/2017,51 414 2121,"Viaduto de Lopes, 82
Marçola
01663-844 Duarte / RN",486.309.669-37,01/07/1980
Srta. Maria Cardoso,Endoscopia,08/05/2012,+55 (051) 0266 7700,"Conjunto Luiz Felipe Santos, 933
Monte Azul
50787-143 Costela / PA",497.298.748-94,06/05/1973
Srta. Brenda Rodrigues,Oftalmologia,11/17/2015,84 9269 6915,"Setor Fernando Fernandes, 6
Vila Madre Gertrudes 1ª Seção
30136765 Rodrigues / MA",262.111.443-87,03/27/1972
Sr. Nicolas Cunha,Acupuntura,03/01/2020,+55 (051) 7492-5222,"Condomínio de da Paz, 725
Santa Sofia
71632-376 Moraes Alegre / BA",860.883.115-92,08/01/1986
Luiz Felipe da Rocha,Radioterapia,11/03/2011,+55 31 8275 4675,"Fazenda Nascimento
Flavio De Oliveira
89030-259 Cunha / AC",880.824.569-11,02/10/1999
Davi Lucca Santos,Acupuntura,08/31/2019,+55 81 2907 5530,"Estrada Antônio Fogaça
Paquetá
03541391 Cunha de Goiás / BA",479.193.296-33,07/17/1983
Sr. Enzo Gabriel Almeida,Radioterapia,03/19/2018,81 5766-3425,"Setor Gomes, 3
Vila Piratininga
10854064 Cardoso dos Dourados / PR",662.872.654-35,01/14/1987
Vitor Gabriel Moreira,Medicina do trabalho,05/03/2019,+55 (021) 7160 0951,"Campo de Aragão, 6
Vila Pinho
72649100 Cardoso de Carvalho / RS",329.722.638-76,05/15/1988
Sra. Rebeca Vieira,Cardiologia,07/25/2017,+55 (031) 9590-6642,"Passarela Thomas da Cruz, 80
Havaí
89921-886 Cardoso da Mata / PR",819.976.477-22,10/14/1997
Davi Luiz Nogueira,Oftalmologia,12/24/2019,+55 (081) 2929 8195,"Pátio Benício Pinto, 513
Boa União 2ª Seção
10023-096 Pinto de Goiás / AP",594.668.808-25,02/07/1996
Kevin da Mota,Dermatologia,10/25/2019,+55 (071) 6714 0509,"Vale Luigi Sales, 9
Marajó
39003487 Cunha / PR",907.854.155-15,05/10/1971
Vinicius Pires,Dermatologia,11/22/2017,+55 (081) 6999 9473,"Área João Guilherme Melo, 47
Silveira
85785892 Pires da Mata / PR",808.485.450-27,10/10/1999
Rafaela Fogaça,Neurologia,02/13/2020,+55 11 7960-1715,"Avenida Caio Costela, 605
Concórdia
21068-631 Cavalcanti das Pedras / AP",268.317.488-76,01/08/1989
Cecília Carvalho,Alergia e imunologia,03/19/2016,+55 (021) 7250 1284,"Colônia de Vieira, 265
Vila Madre Gertrudes 2ª Seção
17883-232 Caldeira da Praia / AL",579.499.437-22,11/06/1998
Pedro Miguel Sales,Oftalmologia,06/03/2016,31 4564 0397,"Favela Santos, 98
São Geraldo
75666-123 Martins de Minas / PB",416.767.610-91,07/02/2000
Gustavo da Costa,Endoscopia,11/25/2017,11 1261 2088,"Esplanada Bruno Gomes
São Gonçalo
25088-864 da Mota / MT",710.925.850-31,02/09/1995
Sra. Lorena Castro,Neurologia,09/08/2018,+55 (061) 5164-9735,"Rodovia de Costela, 22
Alípio De Melo
53616-915 Silveira Grande / DF",447.343.386-53,05/22/1995
Raquel Moura,Dermatologia,06/28/2017,(021) 1233 2700,"Núcleo Maysa Ramos, 27
Nova Floresta
86389754 Nogueira / RN",308.294.291-47,02/18/1998
Srta. Júlia Rocha,,11/05/2014,(031) 5204-0746,"Aeroporto de Araújo, 2
Marajó
36100135 Gonçalves do Galho / AC",758.523.434-13,12/12/1972
Guilherme Alves,Oftalmologia,07/22/2017,+55 84 7196 0815,"Avenida de da Costa, 25
Nova Granada
27908-793 Gomes do Amparo / MA",880.928.505-87,04/23/1978
Lucca Oliveira,Radioterapia,08/28/2018,81 7266 1398,"Feira Santos, 93
Virgínia
78063-661 Dias / PB",973.964.498-48,06/06/1975
Isabella Dias,Neurologia,09/16/2017,+55 (084) 4973-6504,"Favela de Moreira, 20
João Pinheiro
23023930 Ribeiro de Gonçalves / SP",187.203.255-55,08/14/1993
Dra. Luna Porto,Pediatria,06/09/2014,+55 71 2410-1638,"Campo Moraes, 64
Vila Da Paz
09874689 Gomes / SC",566.417.153-94,12/06/1984
Raul Azevedo,Alergia e imunologia,09/03/2014,+55 (031) 1589-9113,"Sítio Oliveira, 54
Cônego Pinheiro 1ª Seção
34226-988 Rezende do Norte / SE",967.695.440-76,09/17/1988
Sofia Gonçalves,Pediatria,04/03/2015,(011) 9101 5599,"Morro Diogo Azevedo, 731
Jardim Atlântico
96826-409 Vieira / RR",862.347.376-40,10/01/1983
Giovanna Ferreira,Cardiologia,04/05/2014,11 1265 6089,"Rodovia de da Cunha
Vila Coqueiral
92620492 Moura / MT",395.525.620-70,05/31/1982
Vitor Rocha,Cardiologia,04/14/2020,+55 (011) 2536 0900,"Viela de Rocha, 136
Marieta 2ª Seção
99300-817 Nogueira / RR",141.822.434-26,02/22/1982
Raquel Almeida,Endoscopia,09/30/2014,+55 (081) 4263 4799,"Recanto Stella Peixoto, 54
Vila Pinho
28538-333 Pereira / TO",806.219.912-19,07/28/1975
João Felipe Ferreira,Pediatria,01/21/2014,+55 21 1330-2021,"Praia de Pires, 50
Nova Pampulha
73648628 Porto / AC",412.384.471-20,03/07/1992
Caio Barbosa,Oftalmologia,07/10/2020,+55 (031) 7195 9007,"Conjunto de Porto, 561
Vila Barragem Santa Lúcia
06965169 da Conceição das Pedras / MT",637.769.542-98,04/24/1982
Milena Silveira,Medicina do trabalho,06/27/2020,+55 (081) 2084 0575,"Residencial Fernandes, 398
Beija Flor
19901-508 Ramos de Peixoto / AL",943.487.797-72,01/13/1994
Leandro Campos,Cirurgia geral,08/29/2012,+55 51 946 3916,"Lagoa Vinicius Rocha, 54
Glória
02296-916 Porto de Goiás / PA",137.671.931-24,03-14-1973
Theo Rodrigues,Oftalmologia,10/13/2014,+55 61 1180 6464,"Distrito Marina Peixoto, 6
Monte São José
62919-743 Silva / SP",733.171.328-79,09/23/1994
João Vitor Melo,Radioterapia,07/02/2012,71 8682-6150,"Esplanada Maria Sophia da Cruz
Pilar
67730-697 da Cunha de Vieira / MS",881.897.100-54,05/31/1975
Renan Nunes,Cirurgia geral,11/05/2015,+55 21 9740-5123,"Recanto Silveira, 9
Vila Nossa Senhora Do Rosário
74708-110 da Rosa / TO",787.547.663-37,01/23/1994
Luiz Otávio Monteiro,Pediatria,11/09/2019,(011) 2981 4498,"Avenida de Azevedo, 97
Ipiranga
74770-078 da Luz / SC",859.871.770-97,06/14/1991
Davi Luiz Gonçalves,Radioterapia,03/06/2014,(084) 4433-6908,"Morro de Rezende
Mangabeiras
80458-304 Vieira / AC",822.607.870-98,11/05/1992
Enrico Barros,Oftalmologia,11/08/2011,+55 (041) 3671-6781,"Pátio de Silveira, 88
Paulo Vi
85068-186 Cardoso / MT",376.630.711-34,06/07/1983
Marcelo Aragão,Medicina do trabalho,12/27/2013,+55 (081) 9138 9878,"Lagoa da Paz, 69
Campo Alegre
33607-608 da Luz / MS",297.506.621-49,02/13/1978
Luana Caldeira,Endoscopia,04/02/2013,+55 (084) 8010-3513,"Recanto Sophia Almeida
Santa Efigênia
21189851 Rodrigues / RR",135.657.404-42,01/31/2000
Lucas Souza,Dermatologia,01/18/2013,(021) 0882-3095,"Rodovia Enzo Gabriel Ramos, 5
Camargos
87907561 Cavalcanti / SE",376.189.368-62,07/05/1979
Kaique Martins,Oftalmologia,05/22/2019,(061) 7319-3690,"Recanto de Ramos, 43
Vila Canto Do Sabiá
62340-081 da Mata de Minas / MA",512.317.705-36,09/22/1970
Marcos Vinicius Porto,Acupuntura,05/01/2020,+55 31 0981-3020,"Passarela de da Cunha, 60
Monsenhor Messias
85704030 Moreira Grande / MA",276.141.981-83,07/28/1987
João Pedro Ramos,Neurologia,05/02/2015,+55 (061) 4278-3072,"Alameda de Aragão, 80
Alta Tensão 2ª Seção
30353-614 Cardoso / RR",980.229.352-72,12/20/1974
João Felipe Nascimento,Endoscopia,10/29/2010,+55 21 2310-6481,"Favela Pedro Miguel Cavalcanti, 4
Biquinhas
24304884 da Conceição / PE",104.550.586-38,08/28/1974
Enzo Gabriel Mendes,Oftalmologia,04/01/2017,81 5143 0910,"Lago de Vieira, 72
Jatobá
00259783 Teixeira / SP",665.467.603-64,08/03/1973
Gabriela Porto,Oftalmologia,09/09/2018,+55 (021) 4544 9444,"Quadra da Rocha, 47
Mariquinhas
94213453 Mendes Alegre / MA",113.831.833-30,01/03/1991
Laura Costela,Medicina do trabalho,09/19/2016,+55 (031) 4154-5101,"Trecho Clara Cardoso, 90
Vila Maloca
05549640 Pereira de Almeida / BA",720.176.618-66,01/14/1995
Lucas da Costa,Alergia e imunologia,02/06/2017,+55 61 5247 4761,"Fazenda Ana Laura Silva
Engenho Nogueira
42407228 Nogueira / BA",253.789.933-15,10/31/1970
Cauê da Cruz,Dermatologia,11/06/2014,(011) 6459 0899,"Ladeira João Araújo, 44
Bonsucesso
54593567 da Rosa / BA",837.864.175-41,03/26/1987
Davi Luiz Cardoso,Pediatria,03/22/2013,+55 (041) 1330 6289,"Esplanada Cardoso, 85
Vila Cemig
46446442 Farias / RJ",,11/09/1982
Maria Vitória Peixoto,Pediatria,07/22/2015,(041) 4236-9795,"Condomínio Luiz Henrique Ferreira, 9
Vila Paraíso
15619671 da Mata de Duarte / RR",632.199.514-35,09/14/1994
Nicolas Almeida,Dermatologia,10/06/2015,(061) 7166-2493,"Viela da Conceição
Vila Da Paz
55418-398 Ribeiro de Souza / AL",388.333.355-14,10/13/1970
Maysa Ramos,Acupuntura,02/21/2017,+55 (081) 1963-4299,"Ladeira de da Costa, 72
Vila Santo Antônio Barroquinha
90097028 da Rosa / MT",334.866.424-54,08/29/1995
Larissa Oliveira,Alergia e imunologia,10/26/2018,11 1804-5333,"Conjunto da Conceição, 805
Grotinha
53890811 Silveira / AL",356.198.452-15,04/20/1986
Cauã da Costa,Pediatria,07/18/2014,31 5873-8270,"Via Ryan Cunha, 35
Castanheira
22247394 Sales / CE",832.859.857-93,01/27/1973
Emanuella da Cunha,Cirurgia geral,01/23/2018,51 713 9867,"Residencial da Rocha, 62
Carmo
02475-807 da Mata / RO",262.819.890-66,02/08/1971
Yuri da Paz,Dermatologia,06/09/2013,+55 (061) 2959-8784,"Vereda Rodrigues, 873
Madre Gertrudes
58890619 Azevedo / AC",621.115.270-95,10/15/1995
Mariana Nunes,Endoscopia,12/17/2019,(021) 3325-7092,"Alameda de Silveira, 544
Manacas
01790830 Alves de Goiás / AP",602.812.671-38,03/26/1972
Enzo Pinto,Endoscopia,02/07/2013,41 3117 5406,"Colônia Cardoso, 35
Ambrosina
83815840 Ramos do Amparo / ES",197.330.434-71,05/07/1984
Ana Júlia Carvalho,Cardiologia,09/28/2015,(084) 7866 5798,"Colônia Brenda Souza, 273
São Gabriel
29592806 Souza de Ramos / RS",111.488.935-38,07/20/1986
Sofia Campos,Endoscopia,10/19/2016,(051) 2892-7401,"Pátio Martins
Cenaculo
23964721 da Paz de Minas / ES",165.521.491-21,12/20/1970
Francisco Peixoto,Cirurgia geral,11/14/2014,(031) 8887-0914,"Rodovia Mariane Freitas, 284
Barro Preto
48413043 Rodrigues da Prata / MT",119.276.616-59,07/08/1980
Ana Beatriz da Rocha,Radioterapia,10/22/2010,+55 (021) 2603 9401,"Núcleo Bryan Santos, 6
Xangri-Lá
58543503 Azevedo / PA",948.196.559-25,12/04/1972
Pietro Ribeiro,Radioterapia,04/24/2019,71 7752-4134,"Viaduto de Teixeira, 65
Serrano
93891-223 Melo / SP",453.555.338-22,07/15/1995
Daniel Santos,Medicina do trabalho,12/29/2010,+55 (081) 8254-9960,"Ladeira Maria Cecília da Mata, 40
Aparecida
11737-976 Dias de Minas / PR",438.978.387-70,09/03/1988
Gabriel da Rosa,Pediatria,04/28/2018,21 2126-0953,"Colônia Emanuel Farias, 52
Novo Ouro Preto
55654156 Vieira do Amparo / PA",211.947.316-61,07/18/1986
Sabrina Lopes,Cardiologia,09/24/2014,(061) 3667 7839,"Estação Luiz Felipe Ramos, 621
Jardim Leblon
17337690 Peixoto do Sul / RN",216.169.809-48,08/10/1997
Bruno Porto,Pediatria,04/27/2014,+55 (084) 8461 3838,,889.145.663-33,03/02/1973
Gustavo Lopes,Cirurgia geral,05/30/2020,+55 71 8926 2759,"Chácara de Silva, 21
Jardim Guanabara
72059-868 Porto / MS",354.313.842-95,08/09/1987
João Felipe Araújo,Medicina do trabalho,08/04/2017,(011) 3354 9602,"Rua Kaique Viana, 29
Pongelupe
29463738 Novaes / PR",402.753.187-90,03/07/1980
Luna Oliveira,Alergia e imunologia,11/15/2016,(051) 5997-5193,"Rua de da Rocha, 466
Venda Nova
15747103 Nascimento / MS",852.949.466-61,08/02/1996
Camila das Neves,Radioterapia,06/17/2018,+55 (021) 5097-2128,"Loteamento de Costa, 89
Ademar Maldonado
12889928 Ramos da Mata / PA",195.901.797-50,03/11/1980
Sr. Lucas Rocha,Cardiologia,01/27/2014,+55 41 8435 6677,"Ladeira Gabrielly Teixeira, 92
Guarani
75755635 Sales do Campo / PA",873.998.792-91,03/19/1983
Caroline Martins,Cardiologia,08/01/2015,61 3693 7211,"Setor de Mendes, 71
Vila Califórnia
55852801 Martins / PE",314.590.265-74,11/08/1995
Vitor Correia,Cirurgia geral,06/02/2018,(071) 0883-4097,"Quadra de Fogaça, 8
Grota
74920-179 Silveira / PB",965.785.971-96,05/25/2000
Isabella Ramos,Endoscopia,10/20/2011,51 444 6895,"Passarela Leandro Silveira, 8
Vila De Sá
94002-746 da Paz / MS",201.709.173-55,01/12/1999
Raquel Barros,Medicina do trabalho,08/13/2011,+55 (061) 8928-3611,"Viela Thales Cunha, 52
São Cristóvão
63140404 Viana / RS",994.358.638-50,08/29/1985
Sophia da Luz,Cirurgia geral,02/25/2020,+55 61 9743-7691,"Ladeira Luiz Otávio Lopes, 136
São Pedro
62174578 Nogueira / MG",101.829.818-36,07/04/1991
Catarina Fogaça,Dermatologia,03/30/2012,84 2558-6394,"Trevo Souza, 683
Santa Efigênia
97655-076 Vieira dos Dourados / SC",234.435.250-40,02/28/1985
Benjamin Nascimento,Acupuntura,12/22/2016,31 5461-4121,"Setor Vieira, 15
Venda Nova
02348-575 Ramos / GO",730.754.788-32,10/01/1989
Vitor Hugo Barros,Dermatologia,04/08/2020,(081) 2185-4797,"Alameda Ramos, 51
Salgado Filho
26085-956 Gomes / RO",106.383.523-77,09/13/1987
Levi Cardoso,Cirurgia geral,05/27/2016,+55 84 7541 6340,"Jardim de Cavalcanti, 35
Mineirão
70070954 Gonçalves / GO",103.749.920-77,09/05/1986
Bárbara Souza,Neurologia,11/25/2013,+55 84 2717-0087,"Feira Rafael Duarte, 7
Vila Suzana Primeira Seção
52140-304 Costela do Campo / AP",971.980.363-78,03/31/1991
Igor Monteiro,Radioterapia,11/09/2010,21 0943 7997,"Lago Caldeira, 22
Mantiqueira
12146-156 Castro da Mata - RR",265.623.631-31,11-17-1981
Pietro Vieira,Radioterapia,03/20/2019,+55 (081) 5050 0626,"Residencial Oliveira, 54
Nova Pampulha
71225502 Lima de da Cruz / MS",548.533.176-35,07/08/1974
Luiz Miguel Lopes,Alergia e imunologia,04/21/2020,+55 21 9877 3339,"Lago das Neves, 44
Mariano De Abreu
63876-583 Silveira da Praia / AC",826.447.590-28,08/22/1972
Gabriel da Conceição,Cardiologia,07/02/2017,+55 51 489 5393,,564.388.647-90,11/17/1982
Marcela Cunha,Medicina do trabalho,,+55 71 3695-1034,"Colônia André da Rosa, 99
Conjunto Jatoba
13230-688 Melo / PB",962.293.701-21,07/13/1988
Sra. Olivia da Luz,Acupuntura,03/23/2015,+55 31 1949-8482,"Praia Almeida, 322
Itapoa
12995-369 Nunes / PB",219.875.155-42,11/26/1976
Theo Fernandes,Radioterapia,12/22/2012,+55 (011) 4537-4717,"Viaduto Matheus das Neves, 68
Vila Trinta E Um De Março
40738742 Duarte de Azevedo / MG",925.474.519-57,09/08/1982
Srta. Marcela Duarte,Radioterapia,03/22/2018,+55 (021) 9480 6178,"Esplanada Rocha, 4
Providencia
20393824 Ramos de Fernandes / PI",235.538.890-92,01/08/1977
Sarah Campos,Neurologia,09/20/2011,+55 (081) 4838-9824,"Feira de Ferreira
Corumbiara
48176200 Rezende / RJ",117.692.751-48,08/14/1993
Lorena Alves,Alergia e imunologia,06/16/2016,+55 71 6108-2275,"Quadra Eloah das Neves, 40
Campo Alegre
63835279 Gonçalves / PB",348.390.302-13,08-17-1975
Ana Beatriz Azevedo,Endoscopia,01/20/2017,+55 (071) 6108 3918,"Praça de Peixoto, 23
Floresta
29552-146 Moura / MT",793.622.797-36,11/20/1979
Bárbara Cardoso,Pediatria,09/22/2010,+55 (084) 5194-6129,"Favela de Almeida, 1
Brasil Industrial
56005829 da Cunha de da Cunha / PB",429.374.460-66,05/15/1988
Camila Cardoso,Endoscopia,11/10/2017,+55 (041) 2411-9063,"Travessa Cauê da Conceição, 4
Vila Maloca
06595939 Lopes / ES",674.672.806-36,06/30/1995
Sophia Vieira,Pediatria,05/20/2015,41 8928-8885,"Trecho Moraes, 3
Vila Nova Paraíso
75130568 Mendes do Oeste / AC",340.671.672-71,05/11/1977
Sr. Pietro Silva,Alergia e imunologia,07/31/2013,(061) 7830 1951,"Loteamento de Pereira, 1
Jardim Do Vale
90332344 da Rocha de da Costa / CE",732.803.243-94,03/13/1998
Ana Sophia Nunes,Oftalmologia,08/13/2019,+55 (084) 2744-9334,"Praça de Moura, 5
Delta
25732-507 Nogueira / BA",780.588.822-64,01/16/1976
Melissa Aragão,Pediatria,07/15/2015,+55 21 2110-7717,"Rua Maria Julia Novaes, 52
Barão Homem De Melo 1ª Seção
77098347 Ramos / SP",204.695.301-30,06/20/1987
Yasmin Ramos,Radioterapia,03/10/2020,21 3308 5668,"Pátio Luiz Henrique Caldeira, 1
Conjunto Serra Verde
06602-565 da Rosa / PI",501.266.782-11,10/08/1998
Davi Rezende,Acupuntura,11/22/2010,(081) 1552-5507,"Via Correia, 15
Pompéia
27657-349 Ramos de Vieira / RO",814.134.570-86,07/19/1972
Raquel Freitas,Oftalmologia,09/21/2013,(011) 7748 2708,"Praia Luiza Dias
Aeroporto
26368-595 da Luz / MS",408.435.840-98,02/04/1972
Júlia Freitas,Radioterapia,07/26/2010,+55 31 7850-2897,"Viaduto Diogo Moura, 63
Nazare
55941717 da Costa Grande / PE",756.901.252-93,06/24/1972
Clarice Porto,Acupuntura,09/07/2010,+55 11 6383-4748,"Distrito Campos, 77
Vila Nova Cachoeirinha 2ª Seção
33011632 Alves / RS",722.863.676-88,12/17/1978
Srta. Joana Mendes,Endoscopia,11/07/2010,+55 (011) 9393 7613,"Lagoa Enzo Barbosa, 206
Prado
32006-422 da Mata / CE",591.543.619-31,07/11/1985
Valentina Araújo,Neurologia,01/16/2015,+55 81 6037-8503,"Vereda Pietra Lima, 71
Nossa Senhora Da Conceição
55487-581 Pereira de Goiás / RO",867.510.756-40,05/25/1985
Maria Clara Caldeira,Cirurgia geral,12/03/2018,(041) 9308 0971,"Jardim Ana Julia Rodrigues, 747
Pongelupe
23347761 Lima / ES",925.355.732-47,12/27/1977
Sra. Alice Barbosa,Cardiologia,06/25/2015,+55 (011) 4027-7916,"Vale de Oliveira, 55
São Luiz
20840858 Cardoso / AM",217.936.121-68,12/26/1998
Maria Luiza Campos,Pediatria,12/25/2013,+55 71 9023 6109,,362.914.830-87,01/11/1992
Augusto Rezende,Cirurgia geral,01/28/2016,84 8496 0428,"Vale Luiz Henrique Fogaça, 38
Funcionários
33434989 Fogaça / ES",205.989.175-93,09/20/1984
